Trial, Array Size, Time Elapsed
457,45700,4
458,45800,4
459,45900,4
460,46000,4
461,46100,3
462,46200,4
463,46300,5
464,46400,4
465,46500,4
466,46600,4
467,46700,4
468,46800,5
469,46900,4
470,47000,9
471,47100,4
472,47200,4
473,47300,4
474,47400,5
475,47500,5
476,47600,5
477,47700,6
478,47800,6
479,47900,5
480,48000,4
481,48100,4
482,48200,4
483,48300,4
484,48400,4
485,48500,4
486,48600,4
487,48700,4
488,48800,5
489,48900,5
490,49000,5
491,49100,5
492,49200,5
493,49300,6
494,49400,5
495,49500,5
496,49600,4
497,49700,5
498,49800,5
499,49900,4
500,50000,4
501,50100,4
502,50200,4
503,50300,5
504,50400,5
505,50500,5
506,50600,5
507,50700,5
508,50800,5
509,50900,4
510,51000,5
511,51100,5
512,51200,5
513,51300,5
514,51400,5
515,51500,5
516,51600,5
517,51700,4
518,51800,4
519,51900,5
520,52000,5
521,52100,5
522,52200,4
523,52300,5
524,52400,5
525,52500,4
526,52600,5
527,52700,5
528,52800,4
529,52900,6
530,53000,5
531,53100,5
532,53200,5
533,53300,5
534,53400,5
535,53500,5
536,53600,5
537,53700,5
538,53800,5
539,53900,5
540,54000,5
541,54100,4
542,54200,5
543,54300,5
544,54400,5
545,54500,6
546,54600,6
547,54700,4
548,54800,5
549,54900,5
550,55000,5
551,55100,5
552,55200,5
553,55300,5
554,55400,5
555,55500,5
556,55600,5
557,55700,6
558,55800,6
559,55900,5
560,56000,5
561,56100,5
562,56200,5
563,56300,6
564,56400,5
565,56500,5
566,56600,6
567,56700,6
568,56800,5
569,56900,6
570,57000,5
571,57100,6
572,57200,6
573,57300,5
574,57400,5
575,57500,5
576,57600,5
577,57700,6
578,57800,6
579,57900,6
580,58000,6
581,58100,6
582,58200,5
583,58300,5
584,58400,5
585,58500,6
586,58600,5
587,58700,6
588,58800,6
589,58900,6
590,59000,6
591,59100,6
592,59200,5
593,59300,6
594,59400,8
595,59500,7
596,59600,7
597,59700,5
598,59800,7
599,59900,6
600,60000,8
601,60100,7
602,60200,7
603,60300,6
604,60400,7
605,60500,9
606,60600,7
607,60700,6
608,60800,6
609,60900,5
610,61000,6
611,61100,6
612,61200,7
613,61300,7
614,61400,6
615,61500,6
616,61600,8
617,61700,6
618,61800,8
619,61900,7
620,62000,7
621,62100,6
622,62200,6
623,62300,6
624,62400,7
625,62500,6
626,62600,8
627,62700,7
628,62800,6
629,62900,7
630,63000,6
631,63100,8
632,63200,8
633,63300,7
634,63400,7
635,63500,7
636,63600,7
637,63700,6
638,63800,7
639,63900,7
640,64000,7
641,64100,7
642,64200,7
643,64300,6
644,64400,7
645,64500,8
646,64600,7
647,64700,7
648,64800,7
649,64900,7
650,65000,6
651,65100,8
652,65200,6
653,65300,7
654,65400,7
655,65500,7
656,65600,8
657,65700,7
658,65800,8
659,65900,9
660,66000,7
661,66100,6
662,66200,8
663,66300,8
664,66400,7
665,66500,7
666,66600,6
667,66700,8
668,66800,7
669,66900,8
670,67000,7
671,67100,6
672,67200,7
673,67300,7
674,67400,6
675,67500,7
676,67600,8
677,67700,7
678,67800,7
679,67900,7
680,68000,7
681,68100,7
682,68200,7
683,68300,7
684,68400,7
685,68500,7
686,68600,6
687,68700,7
688,68800,9
689,68900,8
690,69000,7
691,69100,7
692,69200,8
693,69300,7
694,69400,7
695,69500,7
696,69600,7
697,69700,7
698,69800,7
699,69900,8
700,70000,7
701,70100,8
702,70200,7
703,70300,7
704,70400,7
705,70500,7
706,70600,8
707,70700,7
708,70800,7
709,70900,8
710,71000,7
711,71100,7
712,71200,7
713,71300,8
714,71400,7
715,71500,8
716,71600,7
717,71700,8
718,71800,7
719,71900,7
720,72000,8
721,72100,7
722,72200,8
723,72300,7
724,72400,8
725,72500,7
726,72600,8
727,72700,8
728,72800,8
729,72900,7
730,73000,8
731,73100,8
732,73200,8
733,73300,8
734,73400,9
735,73500,7
736,73600,7
737,73700,8
738,73800,7
739,73900,7
740,74000,7
741,74100,7
742,74200,8
743,74300,8
744,74400,8
745,74500,8
746,74600,7
747,74700,7
748,74800,7
749,74900,7
750,75000,9
751,75100,7
752,75200,7
753,75300,8
754,75400,8
755,75500,8
756,75600,8
757,75700,9
758,75800,9
759,75900,8
760,76000,9
761,76100,8
762,76200,8
763,76300,9
764,76400,7
765,76500,8
766,76600,8
767,76700,8
768,76800,8
769,76900,8
770,77000,8
771,77100,8
772,77200,8
773,77300,9
774,77400,8
775,77500,8
776,77600,8
777,77700,9
778,77800,8
779,77900,10
780,78000,9
781,78100,8
782,78200,9
783,78300,9
784,78400,8
785,78500,8
786,78600,8
787,78700,9
788,78800,9
789,78900,9
790,79000,9
791,79100,9
792,79200,10
793,79300,9
794,79400,9
795,79500,9
796,79600,9
797,79700,9
798,79800,10
799,79900,9
800,80000,9
801,80100,10
802,80200,9
803,80300,9
804,80400,9
805,80500,9
806,80600,8
807,80700,9
808,80800,10
809,80900,9
810,81000,8
811,81100,9
812,81200,9
813,81300,9
814,81400,9
815,81500,9
816,81600,8
817,81700,9
818,81800,9
819,81900,9
820,82000,9
821,82100,8
822,82200,9
823,82300,9
824,82400,9
825,82500,9
826,82600,9
827,82700,9
828,82800,9
829,82900,9
830,83000,10
831,83100,9
832,83200,9
833,83300,9
834,83400,9
835,83500,10
836,83600,9
837,83700,9
838,83800,10
839,83900,11
840,84000,9
841,84100,9
842,84200,9
843,84300,9
844,84400,9
845,84500,10
846,84600,10
847,84700,10
848,84800,10
849,84900,10
850,85000,10
851,85100,9
852,85200,9
853,85300,9
854,85400,9
855,85500,9
856,85600,11
857,85700,9
858,85800,9
859,85900,10
860,86000,11
861,86100,11
862,86200,12
863,86300,11
864,86400,11
865,86500,12
866,86600,12
867,86700,13
868,86800,12
869,86900,11
870,87000,10
871,87100,12
872,87200,12
873,87300,11
874,87400,12
875,87500,12
876,87600,11
877,87700,12
878,87800,11
879,87900,10
880,88000,12
881,88100,11
882,88200,11
883,88300,10
884,88400,12
885,88500,12
886,88600,12
887,88700,11
888,88800,12
889,88900,13
890,89000,11
891,89100,11
892,89200,15
893,89300,12
894,89400,13
895,89500,11
896,89600,14
897,89700,12
898,89800,13
899,89900,11
900,90000,14
901,90100,11
902,90200,11
903,90300,13
904,90400,11
905,90500,12
906,90600,11
907,90700,12
908,90800,11
909,90900,11
910,91000,12
911,91100,12
912,91200,12
913,91300,12
914,91400,11
915,91500,11
916,91600,11
917,91700,12
918,91800,11
919,91900,12
920,92000,11
921,92100,10
922,92200,12
923,92300,11
924,92400,12
925,92500,12
926,92600,11
927,92700,11
928,92800,11
929,92900,12
930,93000,12
931,93100,13
932,93200,12
933,93300,13
934,93400,12
935,93500,12
936,93600,11
937,93700,12
938,93800,11
939,93900,11
940,94000,12
941,94100,12
942,94200,11
943,94300,11
944,94400,11
945,94500,11
946,94600,10
947,94700,11
948,94800,11
949,94900,11
950,95000,12
951,95100,13
952,95200,12
953,95300,13
954,95400,11
955,95500,14
956,95600,12
957,95700,12
958,95800,12
959,95900,12
960,96000,13
961,96100,12
962,96200,11
963,96300,13
964,96400,11
965,96500,11
966,96600,12
967,96700,13
968,96800,13
969,96900,13
970,97000,12
971,97100,12
972,97200,12
973,97300,12
974,97400,15
975,97500,13
976,97600,13
977,97700,13
978,97800,13
979,97900,13
980,98000,12
981,98100,13
982,98200,13
983,98300,14
984,98400,12
985,98500,12
986,98600,12
987,98700,12
988,98800,12
989,98900,13
990,99000,13
991,99100,12
992,99200,13
993,99300,12
994,99400,14
995,99500,13
996,99600,13
997,99700,14
998,99800,14
999,99900,13
1000,100000,13
